Rank,Player Name,Age,Country,Points,Change
1,Jannik Sinner,23,ITA,11330,
2,Alexander Zverev,27,GER,8135,
3,Carlos Alcaraz,21,ESP,7510,
4,Taylor Fritz,27,USA,4900,
5,Casper Ruud,26,NOR,4045,
6,Daniil Medvedev,29,RUS,3930,
7,Novak Djoković,37,SRB,3900,
8,Andrey Rublev,27,RUS,3480,1.0
9,Stefanos Tsitsipas,26,GRE,3405,2.0
10,Alex de Minaur,26,AUS,3335,-2.0
11,Tommy Paul,27,USA,3330,-1.0
12,Ben Shelton,22,USA,2880,2.0
13,Holger Rune,21,DEN,2820,
14,Jack Draper,23,GBR,2810,-2.0
15,Grigor Dimitrov,33,BUL,2745,1.0
16,Lorenzo Musetti,22,ITA,2650,1.0
17,Frances Tiafoe,27,USA,2485,1.0
18,Félix Auger-Aliassime,24,CAN,2455,3.0
19,Ugo Humbert,26,FRA,2375,-4.0
20,Tomáš Macháč,24,CZE,2330,5.0
21,Arthur Fils,20,FRA,2330,-2.0
22,Hubert Hurkacz,28,POL,2165,-2.0
23,Karen Khachanov,28,RUS,1960,1.0
24,Jiří Lehečka,23,CZE,1935,-2.0
25,Sebastian Korda,24,USA,1900,-2.0
26,Francisco Cerúndolo,26,ARG,1775,
27,Alexei Popyrin,25,AUS,1750,
28,Denis Shapovalov,25,CAN,1696,4.0
29,Matteo Berrettini,28,ITA,1620,1.0
30,Giovanni Mpetshi Perricard,21,FRA,1616,-1.0
31,Alejandro Tabilo,27,CHI,1535,-3.0
32,Alex Michelsen,20,USA,1445,2.0
33,Brandon Nakashima,23,USA,1430,9.0
34,Sebastián Báez,24,ARG,1425,-3.0
35,Matteo Arnaldi,24,ITA,1390,-2.0
36,Nuno Borges,28,POR,1385,2.0
37,Lorenzo Sonego,29,ITA,1376,-2.0
38,Jordan Thompson,30,AUS,1375,-1.0
39,Alejandro Davidovich Fokina,25,ESP,1325,9.0
40,Flavio Cobolli,22,ITA,1295,-1.0
41,Pedro Martínez,27,ESP,1295,-5.0
42,Gaël Monfils,38,FRA,1280,-2.0
43,Tallon Griekspoor,28,NED,1270,4.0
44,Alexandre Müller,28,FRA,1270,-3.0
45,Tomás Martín Etcheverry,25,ARG,1265,-2.0
46,Jan Lennard Struff,34,GER,1200,
47,Nicolás Jarry,29,CHI,1175,-2.0
48,Marcos Giron,31,USA,1150,4.0
49,Miomir Kecmanović,25,SRB,1146,-5.0
50,Roberto Bautista Agut,36,ESP,1089,3.0
51,Zhizhen Zhang,28,CHN,1075,-2.0
52,Roberto Carballés Baena,31,ESP,1071,-2.0
53,Zizou Bergs,25,BEL,1060,3.0
54,Fábián Marozsán,25,HUN,1035,1.0
55,Juncheng Shang,20,CHN,1025,3.0
56,David Goffin,34,BEL,1006,7.0
57,Jakub Menšík,19,CZE,992,-3.0
58,Jaume Munar,27,ESP,992,-1.0
59,Quentin Halys,28,FRA,976,18.0
60,Luciano Darderi,23,ITA,945,-1.0
61,Camilo Ugo Carabelli,25,ARG,935,8.0
62,Benjamin Bonzi,28,FRA,910,
63,Mariano Navone,24,ARG,905,1.0
64,Aleksandar Vukic,28,AUS,868,2.0
65,Yoshihito Nishioka,29,JPN,866,-5.0
66,Francisco Comesaña,24,ARG,866,1.0
67,Luca Nardi,21,ITA,862,12.0
68,Learner Tien,19,USA,857,15.0
69,Roman Safiullin,27,RUS,848,3.0
70,Mattia Bellucci,23,ITA,840,
71,Yunchaokete Bu,23,CHN,833,-3.0
72,Hamad Medjedović,21,SRB,829,-1.0
73,Arthur Rinderknech,29,FRA,824,-12.0
74,Christopher O'Connell,30,AUS,805,1.0
75,Kei Nishikori,35,JPN,793,-2.0
76,Cameron Norrie,29,GBR,784,-2.0
77,Daniel Altmaier,26,GER,768,-1.0
78,Corentin Moutet,25,FRA,759,-13.0
79,Joao Fonseca,18,BRA,750,-1.0
80,Jacob Fearnley,23,GBR,747,1.0
81,Alexander Bublik,27,KAZ,745,-30.0
82,Rinky Hijikata,24,AUS,732,
83,Laslo Djere,29,SRB,728,20.0
84,Damir Džumhur,32,BIH,712,6.0
85,Botic van de Zandschulp,29,NED,710,-5.0
86,Thanasi Kokkinakis,28,AUS,703,-2.0
87,Jaime Faria,21,POR,699,
88,Gabriel Diallo,23,CAN,690,1.0
89,Márton Fucsovics,33,HUN,666,-1.0
90,Francesco Passaro,24,ITA,658,1.0
91,Thiago Seyboth Wild,24,BRA,657,-5.0
92,Raphaël Collignon,23,BEL,652,6.0
93,Hugo Gaston,24,FRA,636,-1.0
94,Aleksandar Kovačević,26,USA,630,-9.0
95,Fabio Fognini,37,ITA,629,-2.0
96,Adam Walton,25,AUS,629,1.0
97,James Duckworth,33,AUS,628,-3.0
98,Alexander Shevchenko,24,KAZ,618,-3.0
99,Lucas Pouille,31,FRA,609,-3.0
100,Chun Hsin Tseng,23,TWN,605,-1.0
101,Nishesh Basavareddy,19,USA,587,5.0
102,Pavel Kotov,26,RUS,573,5.0
103,Hugo Dellien,31,BOL,572,-1.0
104,Christopher Eubanks,28,USA,567,
105,Thiago Monteiro,30,BRA,562,3.0
106,Jesper de Jong,24,NED,562,-1.0
107,Billy Harris,30,GBR,558,3.0
108,Dušan Lajović,34,SRB,555,-8.0
109,Yannick Hanfmann,33,GER,553,
110,Mackenzie McDonald,29,USA,545,7.0
111,Brandon Holt,26,USA,528,33.0
112,Pablo Carreño Busta,33,ESP,524,
113,Arthur Cazaux,22,FRA,521,-12.0
114,Reilly Opelka,27,USA,516,
115,Otto Virtanen,23,FIN,515,-4.0
116,Taro Daniel,32,JPN,508,3.0
117,Tristan Boyer,23,USA,501,-4.0
118,Nicolas Moreno De Alboran,27,USA,501,2.0
119,Vít Kopřiva,27,CZE,491,2.0
120,Borna Ćorić,28,CRO,485,23.0
121,Alexander Ritschard,30,SUI,480,1.0
122,Kamil Majchrzak,29,POL,479,-4.0
123,Daniel Elahi Galán,28,COL,468,2.0
124,Max Purcell,26,AUS,466,2.0
125,Jozef Kovalík,32,SVK,466,-1.0
126,Adrian Mannarino,36,FRA,461,1.0
127,Sebastian Ofner,28,AUT,458,-11.0
128,Federico Coria,32,ARG,458,8.0
129,Juan Manuel Cerúndolo,23,ARG,451,-6.0
130,Tristan Schoolkate,24,AUS,450,3.0
131,Jérôme Kym,22,SUI,449,-2.0
132,Sumit Nagal,27,IND,448,-1.0
133,Harold Mayot,23,FRA,448,-1.0
134,Thiago Agustín Tirante,23,ARG,443,-6.0
135,Federico Agustin Gomez,28,ARG,442,
136,Román Andrés Burruchaga,23,ARG,436,-2.0
137,Ethan Quinn,20,USA,432,5.0
138,Cristian Garín,28,CHI,427,9.0
139,Facundo Díaz Acosta,24,ARG,423,-9.0
140,Mitchell Krueger,31,USA,422,-2.0
141,Lloyd Harris,28,RSA,416,
142,Marin Čilić,36,CRO,413,45.0
143,Martin Landaluce,19,ESP,411,-6.0
144,Dominik Koepfer,30,GER,408,-29.0
145,Shintaro Mochizuki,21,JPN,404,22.0
146,Lukáš Klein,26,SVK,400,2.0
147,Richard Gasquet,38,FRA,398,-1.0
148,Marco Trungelliti,35,ARG,398,-8.0
149,Gustavo Heide,23,BRA,397,11.0
150,Valentin Royer,23,FRA,387,33.0
151,Nikoloz Basilashvili,33,GEO,383,-1.0
152,Tomás Barrios Vera,27,CHI,382,-7.0
153,Kyrian Jacquet,23,FRA,376,-1.0
154,Alejandro Moro Cañas,24,ESP,375,-5.0
155,Alexander Blockx,19,BEL,374,-2.0
156,Luca Van Assche,20,FRA,371,-2.0
157,Elmer Møller,21,DEN,370,-2.0
158,Grégoire Barrère,31,FRA,367,-7.0
159,Yasutaka Uchiyama,32,JPN,365,-3.0
160,Eliot Spizzirri,23,USA,361,29.0
161,Ugo Blanchet,26,FRA,360,-3.0
162,Henrique Rocha,20,POR,360,-3.0
163,Alexis Galarneau,26,CAN,356,-1.0
164,Dalibor Svrčina,22,CZE,351,-3.0
165,Stan Wawrinka,39,SUI,349,-2.0
166,Mikhail Kukushkin,37,KAZ,349,-27.0
167,Duje Ajduković,24,CRO,345,-2.0
168,Terence Atmane,23,FRA,342,-11.0
169,Juan Pablo Ficovich,28,ARG,337,6.0
170,Hady Habib,26,LBN,336,-2.0
171,Liam Draxl,23,CAN,335,5.0
172,Marc-Andrea Hüsler,28,SUI,334,
173,Henri Squire,24,GER,332,4.0
174,Carlos Taberner,27,ESP,332,
175,Calvin Hémery,30,FRA,331,-4.0
176,Rafael Nadal,38,ESP,330,-3.0
177,Constant Lestienne,32,FRA,330,-8.0
178,Li Tu,28,AUS,326,-8.0
179,Daniel Evans,34,GBR,321,-1.0
180,Felipe Meligeni Alves,27,BRA,320,14.0
181,Pierre Hugues Herbert,33,FRA,320,-17.0
182,James Trotter,25,JPN,317,-2.0
183,Timofey Skatov,24,KAZ,316,-1.0
184,Alex Bolt,32,AUS,313,11.0
185,Jan Choinski,28,GBR,313,11.0
186,Vilius Gaubas,20,LTU,311,-2.0
187,Alibek Kachmazov,22,RUS,308,6.0
188,Zachary Svajda,22,USA,307,-3.0
189,Facundo Mena,32,ARG,307,-3.0
190,Hugo Grenier,28,FRA,306,7.0
191,Radu Albot,35,MDA,305,-12.0
192,Coleman Wong,20,HKG,305,-26.0
193,Sho Shimabukuro,27,JPN,304,-3.0
194,Titouan Droguet,23,FRA,303,-3.0
195,Gijs Brouwer,28,NED,301,-3.0
196,Adolfo Daniel Vallejo,20,PAR,300,2.0
197,James McCabe,21,AUS,298,11.0
198,Yuta Shimizu,25,JPN,295,-17.0
199,Juan Pablo Varillas,29,PER,294,-11.0
200,Murkel Dellien,27,BOL,294,
201,August Holmgren,26,DEN,287,1.0
