rank,Player,Age,Nationality,Flag,Pts
667,Samir Hamza Reguig,23,ALG,,44
28,Francisco Cerúndolo,26,ARG,AR,1675
41,Tomás Martín Etcheverry,25,ARG,AR,1240
46,Sebastián Báez,24,ARG,AR,1110
64,Mariano Navone,23,ARG,AR,890
78,Francisco Comesaña,24,ARG,AR,748
84,Camilo Ugo Carabelli,25,ARG,AR,697
123,Juan Manuel Cerúndolo,23,ARG,AR,476
128,Thiago Agustín Tirante,23,ARG,AR,461
130,Facundo Díaz Acosta,24,ARG,AR,448
134,Román Andrés Burruchaga,23,ARG,AR,442
135,Federico Agustin Gomez,28,ARG,AR,442
136,Federico Coria,32,ARG,AR,433
140,Marco Trungelliti,35,ARG,AR,417
173,Juan Pablo Ficovich,28,ARG,AR,330
185,Facundo Mena,32,ARG,AR,314
204,Andrea Collarini,33,ARG,AR,280
272,Juan Bautista Torres,22,ARG,AR,197
273,Pedro Cachín,29,ARG,AR,196
292,Facundo Bagnis,34,ARG,AR,180
308,Santiago Taverna,25,ARG,AR,170
328,Genaro Alberto Olivieri,26,ARG,AR,158
341,Diego Schwartzman,32,ARG,AR,149
350,Lautaro Midon,20,ARG,AR,143
363,Renzo Olivo,32,ARG,AR,137
376,Luciano Emanuel Ambrogi,21,ARG,AR,131
395,Alejo Lorenzo Lingua Lavallén,23,ARG,AR,120
409,Guido Iván Justo,27,ARG,AR,115
432,Hernán Casanova,31,ARG,AR,106
437,Gonzalo Villanueva,30,ARG,AR,105
441,Valerio Aboian,22,ARG,AR,102
461,Lorenzo Joaquín Rodríguez,25,ARG,AR,91
467,Tomás Farjat,24,ARG,AR,88
492,Mariano Kestelboim,29,ARG,AR,82
541,Julio César Porras,26,ARG,AR,67
565,Juan Pablo Paz,30,ARG,AR,63
570,Juan Manuel La Serna,21,ARG,AR,62
573,Alex Barrena,22,ARG,AR,61
577,Leonardo Aboian,26,ARG,AR,61
587,Juan Estevez,19,ARG,AR,58
658,Franco Ribero,25,ARG,AR,45
689,Ignacio Monzón,27,ARG,AR,41
695,Bautista Vilicich,23,ARG,AR,40
714,Nicolás Kicker,32,ARG,AR,37
716,Lautaro Agustin Falabella,27,ARG,AR,37
771,Juan Bautista Otegui,25,ARG,AR,31
801,Guido Andreozzi,33,ARG,AR,28
829,Juan Ignacio Lóndero,31,ARG,AR,24
955,Fernando Cavallo,19,ARG,AR,17
972,Thiago Cigarran,24,ARG,AR,16
973,Ezequiel Monferrer,21,ARG,AR,16
981,Fermin Tenti,27,ARG,AR,15
986,Matías Franco Descotte,30,ARG,AR,15
8,Alex de Minaur,26,AUS,AU,3785
26,Alexei Popyrin,25,AUS,AU,1700
36,Jordan Thompson,30,AUS,AU,1375
66,Aleksandar Vukic,28,AUS,AU,868
73,Christopher O'Connell,30,AUS,AU,780
81,Rinky Hijikata,23,AUS,AU,735
83,Thanasi Kokkinakis,28,AUS,AU,703
93,James Duckworth,33,AUS,AU,628
97,Adam Walton,25,AUS,AU,616
126,Max Purcell,26,AUS,AU,466
133,Tristan Schoolkate,23,AUS,AU,446
169,Li Tu,28,AUS,AU,336
194,Alex Bolt,32,AUS,AU,307
207,James McCabe,21,AUS,AU,271
220,Bernard Tomic,32,AUS,AU,256
223,Omar Jasika,27,AUS,AU,246
304,Blake Ellis,26,AUS,AU,173
325,Philip Sekulic,21,AUS,AU,160
364,Marc Polmans,27,AUS,AU,136
381,Matthew Dellavedova,24,AUS,AU,127
399,Moerani Bouzige,25,AUS,AU,119
473,Jake Delaney,27,AUS,AU,87
476,Blake Mott,28,AUS,AU,86
516,Jason Kubler,31,AUS,AU,74
537,Jacob Bradshaw,22,AUS,AU,69
614,Edward Winter,20,AUS,AU,53
681,Dane Sweeny,24,AUS,AU,42
693,Luke Saville,31,AUS,AU,40
797,Matt Hulme,26,AUS,AU,29
804,Oliver Anderson,26,AUS,AU,28
820,Thomas Fancutt,29,AUS,AU,25
836,Pavle Marinkov,19,AUS,AU,24
928,Chase Ferguson,26,AUS,AU,18
940,Akira Santillan,27,AUS,AU,17
950,Joshua Charlton,25,AUS,AU,17
974,Jesse Delaney,26,AUS,AU,16
982,Derek Pham,20,AUS,AU,15
115,Sebastian Ofner,28,AUT,AT,508
211,Lukas Neumayer,22,AUT,AT,267
219,Jurij Rodionov,25,AUT,AT,258
245,Filip Misolic,23,AUT,AT,222
311,Joel Schwärzler,19,AUT,AT,166
329,Sandro Kopp,24,AUT,AT,157
369,Dennis Novak,31,AUT,AT,135
440,Neil Oberleitner,25,AUT,AT,102
562,Maximilian Neuchrist,33,AUT,AT,63
632,Dominic Thiem,31,AUT,AT,49
656,Sebastian Sorger,19,AUT,AT,45
678,Gerald Melzer,34,AUT,AT,42
766,David Pichler,29,AUT,AT,31
947,Gregor Ramskogler,26,AUT,AT,17
1000,Guy Orly Iradukunda,28,BDI,,14
55,Zizou Bergs,25,BEL,,1035
63,David Goffin,34,BEL,,906
121,Raphaël Collignon,23,BEL,,491
152,Alexander Blockx,19,BEL,,375
215,Gauthier Onclin,23,BEL,,264
301,Michael Geerts,30,BEL,,174
313,Joris De Loore,31,BEL,,164
331,Kimmer Coppejans,31,BEL,,156
497,Tibo Colson,24,BEL,,80
622,Gilles Arnaud Bailly,19,BEL,,51
649,Emilien Demanet,19,BEL,,46
688,Buvaysar Gadamauri,24,BEL,,41
700,Jack Logé,20,BEL,,40
739,Simon Beaupain,25,BEL,,34
886,Martin Van Der Meerschen,24,BEL,,20
901,Pierre Yves Bailly,21,BEL,,19
89,Damir Džumhur,32,BIH,,662
435,Nerman Fatić,30,BIH,,105
549,Mirza Bašić,33,BIH,,66
593,Andrej Nedic,20,BIH,,57
970,Aldin Šetkić,37,BIH,,16
390,Egor Gerasimov,32,BLR,,121
611,Erik Arutiunian,20,BLR,,54
652,Mikalai Haliak,26,BLR,,45
765,Martin Borisiouk,24,BLR,,31
906,Daniil Ostapenkov,21,BLR,,19
913,Aliaksandr Liaonenka,25,BLR,,19
101,Hugo Dellien,31,BOL,,572
199,Murkel Dellien,27,BOL,,295
294,Juan Carlos Prado Angelo,19,BOL,,180
76,Joao Fonseca,18,BRA,,750
86,Thiago Seyboth Wild,24,BRA,,682
107,Thiago Monteiro,30,BRA,,540
160,Gustavo Heide,22,BRA,,359
193,Felipe Meligeni Alves,27,BRA,,307
275,Karue Sell,31,BRA,,195
283,Mateus Alves,24,BRA,,187
318,Daniel Dutra da Silva,36,BRA,,163
338,Pedro Sakamoto,31,BRA,,151
356,Matheus Pucinelli De Almeida,23,BRA,,141
422,João Lucas Reis Da Silva,24,BRA,,110
463,Orlando Luz,27,BRA,,90
466,Pedro Boscardin Dias,22,BRA,,89
522,José Pereira,34,BRA,,73
526,João Eduardo Schiessl,20,BRA,,72
560,Eduardo Ribeiro,26,BRA,,64
623,Igor Gimenez,25,BRA,,51
643,Mateo Barreiros Reyes,24,BRA,,47
755,Nicolas Zanellato,23,BRA,,32
760,Wilson Leite,33,BRA,,32
788,Paulo Andre Saraiva Dos Santos,24,BRA,,30
975,Oscar Jose Gutierrez,31,BRA,,16
979,Gabriel Décamps,25,BRA,,15
16,Grigor Dimitrov,33,BUL,,2745
231,Adrian Andreev,23,BUL,,236
360,Dimitar Kuzmanov,31,BUL,,138
436,Petr Nesterov,21,BUL,,105
495,Yanaki Milev,20,BUL,,81
534,Iliyan Radulov,19,BUL,,70
767,Alexander Donski,26,BUL,,31
958,Georgi Georgiev,18,BUL,,16
21,Félix Auger-Aliassime,24,CAN,,2055
31,Denis Shapovalov,25,CAN,,1496
88,Gabriel Diallo,23,CAN,,665
164,Alexis Galarneau,25,CAN,,345
176,Liam Draxl,23,CAN,,321
377,Milos Raonic,34,CAN,,130
484,Juan Carlos Aguilar,26,CAN,,84
513,Alvin Nicholas Tudorica,23,CAN,,75
590,Steven Diez,33,CAN,,57
721,Taha Baadi,23,CAN,,36
791,Dan Martin,25,CAN,,30
830,Vasek Pospisil,34,CAN,,24
945,Justin Boulais,23,CAN,,17
949,Benjamin Thomas George,22,CAN,,17
27,Alejandro Tabilo,27,CHI,,1690
43,Nicolás Jarry,29,CHI,,1225
144,Tomás Barrios Vera,27,CHI,,407
146,Cristian Garín,28,CHI,,402
241,Matías Soto,25,CHI,,230
690,Diego Fernandez Flores,24,CHI,,41
806,Daniel Antonio Núñez,23,CHI,,28
910,Ignacio Antonio Becerra Otarola,24,CHI,,19
48,Zhizhen Zhang,28,CHN,,1075
57,Juncheng Shang,20,CHN,,1025
67,Yunchaokete Bu,23,CHN,,847
256,Yan Bai,35,CHN,,213
279,Fajing Sun,28,CHN,,192
291,Jie Cui,27,CHN,,181
373,Yi Zhou,19,CHN,,133
411,Yibing Wu,25,CHN,,113
595,Ye Cong Mo,24,CHN,,57
596,Rigele Te,27,CHN,,56
703,Linang Xiao,24,CHN,,39
833,Tianhui Zhang,19,CHN,,24
879,Sheng Tang,25,CHN,,21
989,Pengyu Lu,23,CHN,,15
991,Zhenxiong Dong,26,CHN,,15
342,Eliakim Coulibaly,22,CIV,,149
125,Daniel Elahi Galán,28,COL,,468
209,Nicolás Mejía,25,COL,,270
348,Adria Soriano Barrera,25,COL,,144
645,Juan Sebastián Gómez,32,COL,,46
711,Johan Alexander Rodriguez,21,COL,,38
932,Juan Sebastian Osorio,27,COL,,18
890,Jesse Flores,29,CRC,,20
143,Borna Ćorić,28,CRO,,410
163,Duje Ajduković,24,CRO,,345
186,Marin Čilić,36,CRO,,313
278,Matej Dodig,19,CRO,,194
297,Mili Poljičak,20,CRO,,177
385,Luka Mikrut,20,CRO,,126
392,Dino Prižmić,19,CRO,,121
417,Borna Gojo,26,CRO,,111
592,Nino Serdarušić,28,CRO,,57
915,Josip Simundza,20,CRO,,19
966,Nikola Basic,23,CRO,,16
24,Jiří Lehečka,23,CZE,,1935
25,Tomáš Macháč,24,CZE,,1855
53,Jakub Menšík,19,CZE,,1042
120,Vít Kopřiva,27,CZE,,491
208,Dalibor Svrčina,22,CZE,,271
247,Marek Gengel,29,CZE,,222
347,Jiří Veselý,31,CZE,,144
375,Jakub Nicod,20,CZE,,132
378,Michael Vrbenský,25,CZE,,129
383,Zdeněk Kolář,28,CZE,,126
401,Hynek Bartoň,20,CZE,,118
474,Jonáš Forejtek,23,CZE,,86
506,Andrew Paulson,23,CZE,,78
508,Martin Krumich,22,CZE,,77
527,Dominik Kellovský,28,CZE,,72
617,Dominik Palan,24,CZE,,52
800,Tadeáš Paroulek,25,CZE,,28
809,Jakub Filip,19,CZE,,27
827,Matthew William Donald,20,CZE,,25
863,Maxim Mrva,17,CZE,,22
893,Daniel Pátý,25,CZE,,20
909,Petr Brunclik,18,CZE,,19
931,Matyáš Černý,23,CZE,,18
12,Holger Rune,21,DEN,,2970
154,Elmer Møller,21,DEN,,372
201,August Holmgren,26,DEN,,289
686,Christian Sigsgaard,27,DEN,,41
783,Kane Bonsach Ganley,20,DEN,,30
815,Philip Hjorth,25,DEN,,26
228,Nick Hardt,24,DOM,,240
452,Roberto Cid Subervi,31,DOM,,94
465,Peter Bertran,28,DOM,,89
237,Andrés Andrade,26,ECU,,232
276,Álvaro Guillén Meza,22,ECU,,195
485,Mohamed Safwat,34,EGY,,84
664,Amr Elsayed,25,EGY,,44
704,Fares Zakaria,23,EGY,,39
871,Michael Bassem Sobhy,20,EGY,,22
877,Karim Mohamed Maamoun,33,EGY,,21
3,Carlos Alcaraz,21,ESP,ES,7510
35,Pedro Martínez,27,ESP,ES,1385
47,Alejandro Davidovich Fokina,25,ESP,ES,1095
49,Roberto Carballés Baena,31,ESP,ES,1071
52,Roberto Bautista Agut,36,ESP,ES,1052
56,Jaume Munar,27,ESP,ES,1032
111,Pablo Carreño Busta,33,ESP,ES,524
137,Martin Landaluce,19,ESP,ES,429
147,Alejandro Moro Cañas,24,ESP,ES,391
171,Rafael Nadal,38,ESP,ES,330
172,Carlos Taberner,27,ESP,ES,330
205,Albert Ramos Viñolas,37,ESP,ES,274
243,Daniel Rincon,22,ESP,ES,224
246,Javier Barranco Cosano,26,ESP,ES,222
250,Oriol Roca Batalla,31,ESP,ES,219
252,Pol Martín Tiffon,25,ESP,ES,217
262,Carlos Sánchez Jover,24,ESP,ES,205
310,Bernabé Zapata Miralles,28,ESP,ES,166
320,Nicolás Álvarez Varona,23,ESP,ES,162
321,Daniel Mérida,20,ESP,ES,162
343,Alex Martí Pujolras,26,ESP,ES,149
344,Nikolás Sánchez Izquierdo,25,ESP,ES,146
382,Pablo Llamas Ruiz,22,ESP,ES,126
413,Max Alcalá Gurri,22,ESP,ES,113
421,David Jordá Sanchis,30,ESP,ES,110
428,Miguel Damas,25,ESP,ES,108
464,Carlos Lopez Montagud,24,ESP,ES,90
532,Iñaki Montes De La Torre,22,ESP,ES,70
544,Alberto Barroso Campos,28,ESP,ES,67
572,Alejo Sanchez Quilez,19,ESP,ES,62
578,Mario Gonzalez Fernandez,22,ESP,ES,61
